Original	Salva	Casimir	Type	Subtype	Characteristic
0	0	0	unknown		
absorptive cell	absorptive cell	absorptive 	unknown		absorptive
acniar cell	acniar cell	acniar 	unknown		acniar
activated t cell	t cell	activated t	t		activated
adenocarcinoma epithelial cell	epithelial cell	adenocarcinoma epithelial 	epithelial	adenocarcinoma	
adipocyte	adipocyte	adipocyte	adipocyte		
adipose tissue	adipose tissue	adipose tissue	tissue	adipose	
adrenocortical cell	adrenocortical cell	adrenocortical 	adrenocortical		
airway smooth muscle cell	muscle cell	airway smooth_muscle 	muscle	smooth	airway
alpha cell	alpha cell	alpha 	alpha		
alveolar bipotent/intermediate cell	alveolar bipotent/intermediate cell	alveolar bipotent/intermediate 	bipotent/intermediate	alveolar	
antigen presenting cell	antigen-presenting cell	antigen-presenting 	antigen-presenting		
antigen-presenting cell	antigen-presenting cell	antigen-presenting 	antigen-presenting		
arterial endothelial cell	endothelial cell	arterial endothelial	endothelial	arterial	
artry endothelial cell	endothelial cell	atery endothelial 	endothelial	atery	
astrocyte	astrocyte	astrocyte	astrocyte		
astrocyte(bergmann glia)	astrocyte	astrocyte	astrocyte		
at1 cell	at1 cell	at1 	at1		
at2 cell	at2 cell	at2 	at2		
atrial cardiomyocyte	atrial cardiomyocyte	atrial cardiomyocyte	cardiomyocyte	atrial	
b cell	b cell	b 	b		
b cell (centrocyte)	b cell	b 	b		
b cell (plasmocyte)	b cell	b 	b		
b cell(centrocyte)	b cell	enterocyte b	b	enterocyte	
b cell(plasmocyte)	b cell	plasmocyte b	b	plasmocyte	
b cell(unknown)	b cell	b 	b		
basal cell	basal cell	basal 	basal		
basal/epithelial cell	basal/epithelial cell	basal/epithelial 	epithelial	basal	
beta cell	b cell	b 	b		
cardiomyocyte	cardiomyocyte	cardiomyocyte	cardiomyocyte		
cd4	cd4	cd4 t	t	cd4	
cd8	cd8	cd8 t	t	cd8	
cd8 t cell	t cell	cd8 t	t	cd8	
cd8+ t cell	t cell	cd8 t	t	cd8	
cervical mesothelial cell	mesothelial cell	cervical mesothelial 	mesothelial	cervical	
cholangiocyte	cholangiocyte	cholangiocyte	cholangiocyte		
chondrocyte	chondrocyte	chondrocyte	chondrocyte		
chromaffin cell	chromaffin cell	chromaffin 	chromaffin		
ciliated cell	ciliated cell	ciliated 	epithelial		ciliated
ciliated epithelial cell	ciliated epithelial cell	ciliated epithelial 	epithelial	ciliated	
club cell	club cell	club 	club		
collecting duct cell	collecting duct cell	collecting_duct 	collecting_duct		
conventional dendritic cell	conventional dendritic cell	conventional dendritic 	dendritic	conventional	
cytotrophoblast	cytotrophoblast	cytotrophoblast	cytotrophoblast		
d cell/ x/a cell	d cell/ x/a cell	d / x/a 	known		
dendritic cell	dendritic cell	dendritic 	dendritic		
dermis fibroblast	fibroblast	fibroblast	fibroblast		
distal progenitor cell	distal progenitor cell	progenitor distal_tubule	distal_tubule	progenitor	
distal tubule cell	distal tubule cell	distal tubule 	tubule	distal	
distal tubule progenitor cell	distal tubule progenitor cell	progenitor distal_tubule	distal_tubule	progenitor	
duct cell	duct cell	duct 	epithelial		ductal
ductal cell	ductal cell	ductal 	epithelial		ductal
effector t cell	effector t cell	effector t 	t	effector	
endocardial cell	endocardial cell	endocardial 	endocardial		
endocervix mesothelial cell	mesothelial cell	endocervix mesothelial 	mesothelial	endocervix	
endocrine cell	endocrine cell	endocrine 	endocrine		
endometrial cell	endometrial cell	endometrial 	endometrial		
endothelial cell	endothelial cell	endothelial 	endothelial		
endothelial cell (non-professional apc)	endothelial cell	non-professional_apc endothelial 	endothelial	non-professional_apc	
endothelial cell in emt	endothelial cell	epithelial_to_mesenchymal_transition endothelial 	endothelial	epithelial_to_mesenchymal_transition	
endothelial progenitor cell	endothelial cell	progenitor endothelial 	endothelial	progenitor	
enteric glial cell	glial cell	glial 	glial		
enteric nerval cell	enteric nerval cell	enteric neuron	neuron	enteric	
enterocyte	enterocyte	enterocyte	enterocyte		
enterocyte progenitor	enterocyte	progenitor enterocyte	enterocyte	progenitor	
enteroendocrine cell	enteroendocrine cell	enteroendocrine 	enteroendocrine		
eosinophil	eosinophil	eosinophil	eosinophil		
ependymal cell	ependymal cell	ependymal 	ependymal		
epithelial	epithelial cell	epithelial 	epithelial		
epithelial cell	epithelial cell	epithelial 	epithelial		
epithelial progenitor cell	epithelial cell	progenitor epithelial 	epithelial		progenitor
epithelial¨cmesenchymal transition	epithelial¨cmesenchymal transition	epithelial_to_mesenchymal_transition endothelial 	endothelial	epithelial_to_mesenchymal_transition	
erythroid cell	erythroid cell	erythroid 	erythroid		
erythroid progenitor cell	erythroid progenitor cell	progenitor erythroid 	erythroid		progenitor
erythroid/basophil progenitor	erythroid/basophil progenitor	erythroid/basophil progenitor	erythroid	basophil	progenitor
es	es	es	es		
excitatory neuron	neuron	excitatory neuron	neuron	excitatory	
exocrine cell	exocrine cell	exocrine 	exocrine		
extravillous trophoblast	extravillous trophoblast	extravillous trophoblast	trophoblast	extravillous	
fast skeletal muscle cell	muscle cell	fast skeletal muscle 	muscle	skeletal	fast
fenestrated endothelial cell	endothelial cell	fenestrated endothelial 	endothelial	fenestrated	
fetal leydig cell	leydig cell	fetal leydig	leydig	fetal	
fibroblast	fibroblast	fibroblast	fibroblast		
fibroblast cell	fibroblast	fibroblast	fibroblast		
